Macro  Block Size,Type,Micro Block Size,CC,Min,1stQ,Median,Mean,3thQ,Max
0.5,512KB-CC1,512KB,CC1,15.1,16.63,16.95,16.94,17.24,19.12
1,512KB-CC2,512KB,CC2,15.09,16.71,17.02,17.03,17.33,19.22
2,512KB-CC4,512KB,CC4,12.27,16.88,17.29,17.31,17.72,21.82
3,512KB-CC6,512KB,CC6,10.2,17.84,18.51,18.6,19.23,38.34
4,512KB-CC8,512KB,CC8,10.21,19.24,20.12,20.21,21.1,36.6
1,1MB-CC1,1MB,CC1,15.47,16.82,17.14,17.15,17.47,19.27
2,1MB-CC2,1MB,CC2,13.57,17.21,17.72,17.73,18.23,23.1
4,1MB-CC4,1MB,CC4,10.23,19.58,20.39,20.44,21.24,41.77
6,1MB-CC6,1MB,CC6,10.25,24.89,26.13,35.8,27.58,135.19
8,1MB-CC8,1MB,CC8,10.23,28.15,30.12,30.02,31.6,53.14
2,2MB-CC1,2MB,CC1,10.46,20.47,21.44,21.62,22.66,31.73
4,2MB-CC2,2MB,CC2,10.21,22.84,23.84,24.13,25.53,39.48
8,2MB-CC4,2MB,CC4,10.68,30.47,31.58,31.93,33.22,53.39
12,2MB-CC6,2MB,CC6,14.33,40.95,42.77,42.86,43.93,73.14
16,2MB-CC8,2MB,CC8,13.08,49.7,51.46,50.8,52.63,88.96
4,4MB-CC1,4MB,CC1,15.16,29.19,30.24,30.24,31.17,47.25
8,4MB-CC2,4MB,CC2,10.18,35.29,37.55,37.2,38.85,77.33
16,4MB-CC4,4MB,CC4,10.19,50.89,55.13,65.13,63.19,190.81
24,4MB-CC6,4MB,CC6,19.17,71.86,83.14,83.34,87.96,129.52
32,4MB-CC8,4MB,CC8,10.2,76.76,86.3,82.67,88.23,180.08
8,8MB-CC1,8MB,CC1,10.19,47.41,49.24,49.43,51.41,116.89
16,8MB-CC2,8MB,CC2,21.21,58.64,60.82,62.14,66.51,103.93
32,8MB-CC4,8MB,CC4,10.19,89.84,95.45,94.44,98.08,234.74
48,8MB-CC6,8MB,CC6,11.76,124.41,133.98,135.2,147.29,224.47
64,8MB-CC8,8MB,CC8,10.26,142.47,158.93,152.69,164.03,305.69
10,10MB-CC1,10MB,CC1,10.2,55.36,57.07,57.54,59.1,92.06
20,10MB-CC2,10MB,CC2,16.53,73,77.7,78.69,84.01,149.53
40,10MB-CC4,10MB,CC4,10.19,108.25,116.09,114.59,118.53,227.05
80,10MB-CC8,10MB,CC8,10.17,175.42,186.24,218.8,198.67,457.43
